brand,fuel_type,engine_size,horsepower,price,city_mpg,highway_mpg,num_doors,body_style,drive_wheels,curb_weight
Audi,gas,2.0,130,13495,26,31,2,hatchback,fwd,2337
BMW,gas,3.0,152,16500,22,27,4,sedan,rwd,2824
Chevrolet,gas,1.8,88,5151,28,33,2,hatchback,fwd,1837
Dodge,gas,2.2,101,7099,24,29,4,sedan,fwd,2191
Ford,gas,1.9,90,6295,26,32,4,sedan,fwd,2094
Honda,gas,1.5,76,5572,31,38,2,hatchback,fwd,1713
Hyundai,gas,1.6,92,6189,29,33,4,sedan,fwd,2017
Mazda,gas,1.6,68,5389,30,37,2,hatchback,fwd,1649
Mercedes-Benz,gas,2.3,136,28248,22,25,4,sedan,rwd,2976
Mitsubishi,gas,1.6,92,6189,29,33,4,sedan,fwd,2017
Nissan,gas,1.6,69,5389,31,37,2,hatchback,fwd,1713
Peugeot,gas,1.9,95,6649,28,33,4,sedan,fwd,2094
Plymouth,gas,1.8,88,5151,28,33,2,hatchback,fwd,1837
Porsche,gas,2.5,143,22018,20,25,2,hardtop,rwd,2756
Renault,gas,1.4,67,5389,31,38,2,hatchback,fwd,1649
Saab,gas,2.0,110,10945,24,29,4,sedan,fwd,2507
Subaru,gas,1.8,82,7775,27,32,4,sedan,4wd,2094
Toyota,gas,1.6,92,6189,29,33,4,sedan,fwd,2017
Volkswagen,gas,1.8,90,7975,25,31,4,sedan,fwd,2209
Volvo,gas,2.3,114,12940,23,28,4,sedan,rwd,2750
Audi,gas,2.3,136,17859,20,25,4,sedan,fwd,2976
BMW,gas,3.5,182,23875,16,22,4,sedan,rwd,3230
Chevrolet,gas,2.8,115,11048,19,27,4,sedan,fwd,2579
Dodge,gas,3.0,142,9959,19,24,4,sedan,fwd,2670
Ford,gas,2.3,96,8845,20,26,4,sedan,fwd,2365
Honda,gas,2.0,101,9279,24,31,4,sedan,fwd,2280
Hyundai,gas,2.4,113,10345,20,27,4,sedan,fwd,2535
Mazda,gas,2.0,84,8845,26,32,4,sedan,fwd,2280
Mercedes-Benz,gas,3.0,123,41315,18,23,4,sedan,rwd,3515
Mitsubishi,gas,2.0,101,9279,24,31,4,sedan,fwd,2280
Nissan,gas,2.0,69,8189,31,37,4,sedan,fwd,2280
Peugeot,gas,2.0,95,9549,25,31,4,sedan,fwd,2365
Plymouth,gas,2.5,100,8921,23,30,4,sedan,fwd,2405
Porsche,gas,3.2,207,34028,17,22,2,hardtop,rwd,2921
Renault,gas,2.2,95,9895,25,31,4,wagon,fwd,2405
Saab,gas,2.0,110,15510,24,29,4,sedan,fwd,2507
Subaru,gas,2.2,90,9960,26,32,4,sedan,4wd,2420
Toyota,gas,2.0,92,10898,24,30,4,sedan,fwd,2280
Volkswagen,gas,2.0,85,10595,23,30,4,sedan,fwd,2385
Volvo,gas,2.3,114,15985,23,28,4,wagon,rwd,2750
Audi,diesel,2.0,52,7775,37,46,4,sedan,fwd,2094
BMW,diesel,2.4,69,16558,30,37,4,sedan,rwd,2637
Chevrolet,diesel,1.7,52,5151,38,47,2,hatchback,fwd,1649
Ford,diesel,2.3,52,6695,36,42,4,sedan,fwd,2094
Mercedes-Benz,diesel,2.0,67,25552,31,39,4,sedan,rwd,2976
Peugeot,diesel,1.9,55,7609,35,43,4,sedan,fwd,2094
Volkswagen,diesel,1.6,52,7775,37,46,4,sedan,fwd,1649
Volvo,diesel,2.4,76,13415,30,38,4,sedan,rwd,2750
Mitsubishi,diesel,3.0,90,14491,21,31,2,sedan,fwd,3952
Porsche,gas,2.4,126,14192,25,31,2,sedan,rwd,2059
Honda,gas,3.3,107,42022,29,33,4,wagon,fwd,1504
Porsche,gas,3.4,175,25235,35,39,2,hardtop,4wd,3919
Volkswagen,diesel,1.6,198,21377,34,40,2,hatchback,rwd,3472
Volkswagen,gas,1.8,138,27590,35,42,2,wagon,4wd,3232
Ford,diesel,2.4,111,13286,17,20,4,wagon,rwd,3880
Plymouth,diesel,3.4,132,18746,20,26,4,hatchback,fwd,3739
Toyota,diesel,1.6,207,11850,25,34,2,hatchback,rwd,2174
Ford,gas,2.7,159,8369,19,24,2,wagon,fwd,2634
Peugeot,diesel,2.5,154,15621,18,28,4,hatchback,rwd,3941
Ford,diesel,2.2,96,49864,31,34,2,sedan,fwd,3655
Renault,diesel,2.4,78,16265,17,27,2,hatchback,fwd,3194
Honda,diesel,3.0,181,19643,15,23,4,sedan,fwd,2360
Mercedes-Benz,diesel,2.9,83,36580,28,34,2,hardtop,rwd,3856
Peugeot,gas,2.0,165,31920,35,39,4,hardtop,4wd,2360
Volvo,diesel,3.0,239,14078,27,34,4,hardtop,4wd,3670
Mercedes-Benz,gas,2.1,191,10577,33,37,2,hardtop,rwd,3089
Chevrolet,diesel,1.5,194,18685,28,31,2,hardtop,4wd,1562
Toyota,gas,2.9,159,27617,19,24,2,wagon,fwd,2847
Mitsubishi,diesel,3.2,179,16319,22,26,2,hatchback,rwd,3550
BMW,diesel,3.5,80,24281,25,29,4,wagon,rwd,3867
Mazda,diesel,2.5,158,40185,18,27,2,wagon,rwd,1905
Mercedes-Benz,gas,1.9,70,25786,23,29,2,wagon,fwd,3975
Audi,diesel,2.0,143,45327,17,26,2,wagon,rwd,2652
Mitsubishi,diesel,1.6,228,11669,24,33,2,sedan,4wd,1501
Honda,diesel,1.7,227,23855,28,37,4,hardtop,4wd,2084
Toyota,gas,1.9,152,13436,31,35,4,hardtop,4wd,2208
Dodge,diesel,2.1,212,9210,23,30,2,hardtop,fwd,2971
Saab,gas,3.0,231,11514,21,24,2,hardtop,fwd,2644
Toyota,diesel,3.1,244,11966,25,29,2,sedan,rwd,3977
Renault,gas,3.3,237,42623,29,33,4,hardtop,fwd,1833
Hyundai,diesel,1.7,155,7525,32,41,4,sedan,4wd,1627
Chevrolet,diesel,2.0,144,16566,20,29,2,wagon,fwd,1970
Porsche,gas,2.2,203,15483,19,27,2,sedan,4wd,2342
BMW,gas,3.4,168,31978,29,32,4,sedan,4wd,3053
Hyundai,diesel,3.3,216,12178,24,34,4,hatchback,4wd,3991
Chevrolet,diesel,2.6,195,37439,22,26,4,wagon,fwd,3337
Nissan,gas,2.3,178,42172,15,18,4,sedan,fwd,2458
Saab,diesel,2.1,128,42389,17,20,4,hatchback,4wd,1702
Subaru,gas,1.7,240,23566,30,37,4,sedan,rwd,1539
Mazda,diesel,1.8,222,30500,34,41,2,wagon,fwd,2968
Audi,diesel,1.4,118,45122,35,43,2,wagon,fwd,2506
Subaru,gas,2.3,102,7183,27,33,2,sedan,rwd,3815
Peugeot,diesel,2.2,176,30771,32,35,4,hardtop,4wd,3126
Toyota,gas,2.7,230,48794,31,37,4,hatchback,rwd,2809
Hyundai,diesel,2.9,240,13821,30,40,2,hatchback,fwd,2349
Hyundai,gas,1.9,175,29619,21,26,2,wagon,rwd,3427
BMW,gas,2.9,153,12468,20,24,2,wagon,rwd,2829
Volkswagen,diesel,3.2,144,44525,33,42,4,hatchback,fwd,3699
Honda,diesel,2.6,80,35012,31,38,4,sedan,4wd,3613
Mitsubishi,gas,2.7,80,11920,35,40,2,wagon,rwd,2186
BMW,diesel,1.6,90,7663,17,24,2,hatchback,4wd,1521
Audi,gas,1.6,103,37229,23,32,4,hatchback,rwd,3192
Chevrolet,diesel,2.9,235,35900,31,35,2,hardtop,rwd,2220
Toyota,gas,2.2,110,30018,15,19,2,hatchback,rwd,2688
Ford,gas,2.3,152,37225,16,23,4,sedan,fwd,2783
Mazda,gas,3.1,213,42033,15,21,4,hardtop,fwd,3223
Volkswagen,diesel,2.2,94,6082,25,31,4,wagon,fwd,3243
Subaru,gas,2.1,142,21396,29,32,2,hatchback,4wd,1569
Hyundai,diesel,2.5,105,44017,17,25,4,hatchback,4wd,3180
Honda,gas,1.6,241,28653,20,24,2,sedan,fwd,3269
Peugeot,gas,3.2,222,44704,19,22,4,sedan,4wd,1504
Dodge,gas,2.6,72,44500,29,38,4,hatchback,rwd,3151
Nissan,diesel,1.4,226,27894,22,32,4,hardtop,rwd,2477
Volvo,diesel,3.1,131,38690,19,24,4,hardtop,fwd,2304
Porsche,gas,1.7,237,49331,32,41,4,hatchback,fwd,2606
Peugeot,gas,1.9,92,38055,22,31,2,wagon,4wd,2937
Mitsubishi,gas,2.9,74,16312,26,36,2,hatchback,4wd,2177
Mazda,gas,2.8,106,49902,21,28,4,sedan,rwd,2330
Mazda,diesel,1.4,188,15664,15,24,2,hatchback,4wd,2281
Volvo,diesel,2.8,227,8113,25,35,2,hardtop,rwd,1618
Mazda,diesel,1.5,137,24415,26,29,4,hatchback,rwd,2412
Subaru,diesel,2.1,182,25109,28,35,4,hardtop,4wd,3802
Chevrolet,gas,2.3,145,31616,22,26,4,wagon,fwd,3338
Mazda,gas,1.5,105,16853,33,36,4,hatchback,fwd,2716
Hyundai,gas,2.4,122,30647,33,41,4,wagon,4wd,1791
Ford,diesel,3.0,233,30800,23,27,4,wagon,rwd,1733
Saab,gas,2.1,104,48153,32,40,4,hatchback,fwd,3363
Honda,diesel,2.3,104,15877,29,35,4,hardtop,fwd,1687
Mazda,diesel,2.2,215,39027,31,40,2,sedan,4wd,3007
Plymouth,gas,1.4,210,21911,30,38,2,hardtop,4wd,2874
Nissan,diesel,3.4,170,15918,19,24,2,sedan,4wd,2506
Hyundai,diesel,2.6,195,24463,23,28,4,hatchback,4wd,3372
Peugeot,gas,2.4,135,28526,35,38,2,hardtop,4wd,2482
Subaru,gas,1.9,123,8421,21,31,4,wagon,4wd,3626
Subaru,diesel,1.9,216,11750,28,37,4,hardtop,fwd,2699
Hyundai,gas,1.5,140,37176,32,39,2,wagon,rwd,3994
Ford,gas,3.5,250,21269,16,19,2,wagon,rwd,1621
Mercedes-Benz,gas,2.3,161,24476,18,24,4,hatchback,fwd,2697
Nissan,diesel,3.1,157,30462,21,31,4,hardtop,4wd,2944
Plymouth,gas,1.5,236,44934,23,32,2,sedan,4wd,2959
Chevrolet,diesel,1.6,231,5994,20,25,4,hardtop,4wd,3741
Mitsubishi,diesel,3.2,176,18734,34,44,2,hatchback,rwd,2005
BMW,diesel,1.5,179,13739,34,37,4,wagon,rwd,1910
Honda,diesel,2.9,104,38549,17,26,4,wagon,fwd,1732
Mazda,gas,3.2,100,39386,32,39,4,sedan,4wd,2513
Mitsubishi,gas,3.3,184,45381,19,25,2,sedan,4wd,2080
